,Name,Year,Age,Team,Position,Games,Games Started,Minutes Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percent,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percent,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percent,Effective Field Goal Percent,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percent,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
0,Jonas Valanciunas,2013,20,TOR,C,62,57,23.9,3.3,5.9,.557,0.0,0.0,,3.3,5.9,.557,.557,2.4,3.0,.789,2.0,4.0,0.7,0.3,1.3,1.5,3.0,8.9
1,Jonas Valanciunas,2014,21,TOR,C,81,81,28.2,4.4,8.3,.531,0.0,0.0,.000,4.4,8.3,.532,.531,2.4,3.2,.762,2.8,6.0,0.7,0.3,0.9,1.7,3.1,11.3
2,Jonas Valanciunas,2015,22,TOR,C,80,80,26.2,4.7,8.2,.572,0.0,0.0,.000,4.7,8.1,.573,.572,2.7,3.5,.786,2.7,6.0,0.5,0.4,1.2,1.4,2.8,12.0
3,Jonas Valanciunas,2016,23,TOR,C,60,59,26.0,5.1,8.9,.565,0.0,0.0,,5.1,8.9,.565,.565,2.7,3.6,.761,3.1,6.1,0.7,0.4,1.3,1.4,2.6,12.8
4,Jonas Valanciunas,2017,24,TOR,C,80,80,25.8,4.9,8.8,.557,0.0,0.0,.500,4.9,8.8,.557,.558,2.2,2.7,.811,2.8,6.7,0.7,0.5,0.8,1.3,2.7,12.0
5,Jonas Valanciunas,2018,25,TOR,C,77,77,22.4,5.1,8.9,.568,0.4,1.0,.405,4.7,8.0,.587,.590,2.2,2.7,.806,2.4,6.2,1.1,0.4,0.9,1.5,2.5,12.7
6,Jonas Valanciunas,2019,26,TOR,C,30,10,18.8,5.0,8.6,.575,0.3,1.0,.300,4.7,7.6,.611,.593,2.6,3.1,.819,1.8,5.4,1.0,0.4,0.8,1.3,2.7,12.8
7,Delon Wright,2016,23,TOR,PG,27,1,8.5,1.3,3.0,.450,0.2,0.5,.385,1.1,2.5,.463,.481,1.0,1.3,.743,0.3,1.1,1.1,0.3,0.1,0.6,0.3,3.8
8,Delon Wright,2017,24,TOR,PG,27,0,16.5,1.8,4.3,.422,0.4,1.1,.333,1.4,3.2,.453,.466,1.6,2.0,.764,0.6,1.2,2.1,1.0,0.4,0.9,1.1,5.6
9,Delon Wright,2018,25,TOR,PG,69,4,20.8,2.9,6.3,.465,0.8,2.2,.366,2.1,4.0,.520,.530,1.4,1.7,.829,0.7,2.2,2.9,1.0,0.5,1.1,1.2,8.0
