,Unnamed: 0,Name,Year,Age,Team,Position,Games,Games Started,Minutes Per Game,Field Goals Per Game,Field Goal Attempts Per Game,Field Goal Percent,3-Point Field Goals Per Game,3-Point Field Goal Attempts Per Game,3-Point Field Goal Percent,2-Point Field Goals Per Game,2-Point Field Goal Attempts Per Game,2-Point Field Goal Percent,Effective Field Goal Percent,Free Throws Per Game,Free Throw Attempts Per Game,Free Throw Percent,Offensive Rebounds Per Game,Defensive Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game,Personal Fouls Per Game,Points Per Game
2282,2282,Kelly Oubre Jr.,2018,22,WAS,SF,81,11,27.5,3.9,9.8,0.40299999999999997,1.6,4.6,0.341,2.4,5.2,0.456,0.48200000000000004,2.4,2.9,0.82,0.7,3.8,1.2,1.0,0.4,1.1,2.9,11.8
1388,1388,Mike Scott,2018,29,WAS,PF,76,1,18.5,3.6,6.9,0.527,0.9,2.1,0.405,2.8,4.8,0.5820000000000001,0.59,0.7,1.0,0.6579999999999999,0.7,2.6,1.1,0.3,0.1,1.0,1.9,8.8
683,683,Markieff Morris,2018,28,WAS,PF,73,73,27.0,4.5,9.4,0.48,1.0,2.8,0.36700000000000005,3.5,6.6,0.529,0.536,1.4,1.8,0.82,1.0,4.6,1.9,0.8,0.5,1.7,3.0,11.5
692,692,John Wall,2018,27,WAS,PG,41,41,34.4,6.8,16.3,0.42,1.5,4.1,0.371,5.3,12.2,0.436,0.466,4.3,5.9,0.726,0.5,3.1,9.6,1.4,1.1,3.9,2.0,19.4
124,124,Jason Smith,2018,31,WAS,C,33,2,8.6,1.4,3.5,0.391,0.1,1.0,0.125,1.2,2.5,0.494,0.409,0.6,0.6,0.905,0.5,1.1,0.4,0.1,0.4,0.5,1.3,3.4
707,707,Ian Mahinmi,2018,31,WAS,C,77,0,14.9,1.8,3.2,0.556,0.0,0.0,0.0,1.8,3.2,0.561,0.556,1.2,1.7,0.703,1.8,2.3,0.7,0.5,0.5,1.3,3.0,4.8
710,710,Tomas Satoransky,2018,26,WAS,SG,73,30,22.5,2.8,5.3,0.523,0.6,1.4,0.465,2.1,3.9,0.544,0.585,1.0,1.3,0.7809999999999999,1.0,2.2,3.9,0.7,0.2,1.1,1.8,7.2
1321,1321,Marcin Gortat,2018,33,WAS,C,82,82,25.3,3.5,6.8,0.518,0.0,0.0,,3.5,6.8,0.518,0.518,1.3,2.0,0.675,2.2,5.4,1.8,0.5,0.7,1.2,2.1,8.4
752,752,Devin Robinson,2018,22,WAS,SF,1,0,13.0,1.0,3.0,0.33299999999999996,0.0,0.0,,1.0,3.0,0.33299999999999996,0.33299999999999996,0.0,0.0,,2.0,3.0,0.0,1.0,0.0,0.0,2.0,2.0
723,723,Otto Porter,2018,24,WAS,SF,77,77,31.6,5.8,11.5,0.503,1.8,4.1,0.441,4.0,7.4,0.537,0.581,1.4,1.7,0.828,1.3,5.1,2.0,1.5,0.5,1.0,2.0,14.7
717,717,Bradley Beal,2018,24,WAS,SG,82,82,36.3,8.3,18.1,0.46,2.4,6.5,0.375,5.9,11.6,0.507,0.527,3.6,4.5,0.7909999999999999,0.7,3.7,4.5,1.2,0.4,2.6,2.0,22.6
